"relativePath","fragmentId","inputRow","candidateIndex","status","imageId","matchMethod","sourceSha256"
"diary-1831/images/img2761-brandon-white-house.png","1288","55","1","AMBIGUOUS_PATH","","UNIQUE_LOCAL_SUFFIX","d13fd1b922ed01453d5cb38235fe988058c93217dbb02cbcb0e1a0908fea9c30"
"diary-1831/images/img2762-north-shields-walk.png","1296","56","1","AMBIGUOUS_PATH","","UNIQUE_LOCAL_SUFFIX","13691d7f6249a1d303df908e8e546434e42e72390d1fefa86b5d5a08ca595a3c"
"diary-1831/images/img2767-hms-samarang.jpg","1315","57","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","7e704da5b73cd5dbefd3175161bc5cdcc0371c720378572da55f5384cb2e9589"
"diary-1831/images/img2769-archibald-reed.jpg","1321","58","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","59fc0dfa34c97deb01613aaa8571cabbf67da2bbf4780f50dfe0a8bde26ce985"
"diary-1831/images/img2780-cross-keys-hull.jpg","1373","59","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","669a4a0b7c7ed8508a80817f7f257f47823705b0c69573421caf9f79eb16a6f5"
"diary-1831/images/img2783-black-swan-york.png","1375","60","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","e1362e242ac61516ed15080b6a4065e0eb8b1d2bb289b3adaa6aebef95cebf4e"
"diary-1831/images/img2787-croquet-island.jpg","1392","61","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","dd367ce600868011c8e94e7f913b09d291cb99801ad3010c36cf7ebedbd092d4"
"diary-1831/images/img2788-hermitage-inn-warkworth.png","1398","63","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","bbc48f64c92d278325827accf5935ec4d963e3f33c887288e2bcfb776a292795"
"diary-1831/images/img2788-hermitage-warkworth.png","1397","62","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","e0ddfdf5aa7188979428930e11e34fea43ea51bee85ec991004e042a4ac5e8d0"
"diary-1831/images/img2791-northumberland-house-london.jpg","1416","64","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","593ad672893fbca53a11eff4af3dfbf066b351c01bcb6ddcd134efb6dba2ec09"
"diary-1831/images/img2792-baths-southampton.jpg","1420","66","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","72aa640dfb5899ccbaa9c0d4c071c0296e5af7d7ba5802e358365e8c98aa972f"
"diary-1831/images/img2792-pier-southampton.jpg","1419","65","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","45830e32268e7396490843cf2f75b1fc29202b189f6517ee20352a7e89ab55e8"
"diary-1831/images/img2798-crown-and-septre-london.png","1438","67","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","04f1030d52dd79a7d66f396b139051ce889e7201a717cf38640de542693c4b57"
"diary-1831/images/img2799-coronation-william-4th.jpg","1443","68","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","75df5aa3ee68ccc7586ed0f0035aac1c21aa17c8f719ee18242bb38edaf7eca7"
"diary-1831/images/img2805-blue-posts-pub.jpg","1461","70","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","4ed885d473d1a216693306627ea99f7c743d9ebc08cfa9a43a509a72aa47042a"
"diary-1831/images/img2805-launch-of-hms-thunderer.jpg","1460","69","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","d8d2e0a9ae6d4fb8f38593b64db24dbeaa2f8ef055d08c536fca5e05671f6583"
"diary-1832/images/img3018-murder-of-nicholas-fairles.png","1738","72","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","c8c92c0c3c0944f0835b96652e7f57d5acff9bdbd0c21ccd1862fb60b12887cd"
"diary-1834/images/img2994-burnhopeside-hall.jpg","1933","73","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","351809f11b0501894c7a4427a13e9167a3c44d460cb8e6815dd4a720debabae4"
"images/img2982-note-at-front-of-diary.jpg","1564","71","1","AMBIGUOUS_PATH","","UNIQUE_LOCAL_SUFFIX","08d96834738ecaa4b61ff47504f047c6033efff576787ca7a2e6ec8b545496ae"
